Customer ID 	 Full Name	E-mail	Phone Number	Country 	City	Join Date	Last Purchase	Age 	Spend (USD)	Subscribed?	Segment	Source File	Notes	
CUST-1032	Laura Hall	LAURA_HALL@YAHOO.COM	01161-528098	Gb	GLASGOW	03/28/2023	10/26/2023	67	$821.80	1	Small Business	crm_export_a.csv	requested invoice	
CUST-1033	AVA WRIGHT	AVAWRIGHT4@EXAMPLE.ORG	04455 022961	 united kingdom 	liverpool	21-Mar-2024	14/07/2024	48	7186.14	no	Enterprise	crm_export_a.csv	 left voicemail 	
CUST-1034	isla jones	 isla_jones@gmail.com 	978-403-6900	U.S.	boston	 2023-06-27 	30-May-2024	48	4135.84	yes	 RETAIL 	crm_export_a.csv	wants weekend calls	
cust 1035	Chloe Jones	CHLOE_JONES@OUTLOOK.COM	05297-516136	Gb	 Glasgow 	06/09/2021	2022-08-24		4900.32	TRUE	ENT	crm_export_b.csv	missing postcode	
CUST-1036	MICHAEL ROBERTS	michael_roberts@example.org	+44 9955 271774	United Kingdom	Cardiff	2021-11-10	12/04/2022	62	654.37	no	Small business	legacy_contacts.csv		
CUST-1037	Chloe Jones	chloe.jones@gmail.com	+44 2037 788925	Gb	Cardiff	31/02/2024	Dec 01, 2024	121	5148.47	Active	vip	web_form.xlsx		
CUST-1038	grace wilson	gracewilson49@example.org	+61 8 1685 0542	AU	BRISBANE	09/05/2024	2025-08-28	63	3340.76	yes	VIP	web_form.xlsx	duplicate from legacy file	
CUST-1039	Isla Wilson	islawilson53@gmail.com	379-473-8347	United States	Austin	29-Nov-2021	01-Mar-2022	65	6557.76	N	 RETAIL 	crm_export_a.csv		
CUST-1040	  Olivia Baker 	olivia.baker@yahoo.com	+61 3 7506 0685	australia 	Adelaide	10/10/2025	 12/12/2025 	39	726.68	Y	Small business	legacy_contacts.csv	wants weekend calls	
CUST-1041	PETER SMITH	petersmith@outlook.com	09711 798089	U.K.	birmingham	29-Jan-2024	2025-05-24	67	5181.35	yes	Enterprise	legacy_contacts.csv	follow up in Q2	
CUST-1042	Mary  Green	 marygreen95@example.org 	5852 772 21	Australia	Brisbane	2025-03-11	03/19/2025	43	6705.59	TRUE	Enterprise	crm_export_b.csv	called twice	
CUST-1043	Mary  Walker	mary_walker@company.co.uk	+44 8416 169284 ext 2	United Kingdom	Bristol	14-Jun-2023	11-Sep-2024		6321.97	FALSE	consumer	web_form.xlsx	VIP prospect	
CUST-1044	Mary Taylor	marytaylor@gmail.com	5569092755	United States	 Atlanta 	01/15/2023	 2023-10-04 	64	1372.49	yes	Enterprise	web_form.xlsx		
CUST-1045	  Ethan Turner 	ethanturner12@company.co.uk	01884422583	United Kingdom	CARDIFF	Aug 08, 2022	29-Jul-2023	52	1713.51	Yes	Retail	web_form.xlsx	VIP prospect	
CUST-1046	Ethan Adams	eadams@example.org	+1 892 268 0182	U.S.	Atlanta	Aug 14, 2025		5	1078.4	yes	 RETAIL 	crm_export_b.csv		
CUST-1047	Isla Baker	isla.baker@outlook.com	440109439690	U.K.	Birmingham	27-Apr-2024	2025-08-22	unknown	1323.34	1	enterprise	web_form.xlsx	left voicemail	
CUST-1048	Chris Walker	 cwalker@outlook.com 	046.963.2595	CA	Montreal	 28-Mar-2023 	02-Jun-2023	44	4,385	TRUE	Retail	crm_export_a.csv	called twice	
CUST-1049	Isla Adams	ISLA_ADAMS@OUTLOOK.COM	+44 8358 416878	uk	London	02-Oct-2025	11/26/2025	48	$1,151.44	yes	consumer	march_upload.csv		
CUST-1050	Mary Wilson	mary_wilson@outlook.com	(495) 888-7947	 united states 	 Miami 	2023-11-30	07/20/2024	30	5159.12	yes	retail	crm_export_a.csv	left voicemail	
CUST-1051	Sarah Campbell	sarah_campbell@yahoo.com	263-689-7028	United States	 Phoenix 	06/05/2025	N/A	45	1268.88	Active	 RETAIL 	march_upload.csv	called twice	
CUST-1052	Laura Roberts		+1 986 652 4041	usa	seattle	Sep 02, 2022	Oct 01, 2023		5996.08	yes	Small Business	crm_export_b.csv		
CUST-1053	Noah Thomas	noah_thomas@example.org	(773) 454-0193	usa	New York	2021-07-25	21-Feb-2022	42	6101.78	TRUE	Enterprise	crm_export_a.csv	prefers email	
CUST-1054	Isla Brown	ibrown@company.co.uk	5274 205 49	AUS	Brisbane	Aug 06, 2022	26-Mar-2023	62	$4,624.90	TRUE	vip	crm_export_a.csv	wants weekend calls	
CUST-1055	Laura Turner	laura.turner@gmail.com	268.414.5933	canada 	Montreal	Sep 11, 2022	Jul 06, 2023	67	4875.86	Active	Retail	march_upload.csv	follow up in Q2	
cust 1056	Ethan Wright	 ethan_wright@outlook.com 	443971870728	U.K.	Cardiff	18-Aug-2021	2021-09-18	56		TRUE	SMB	march_upload.csv	VIP prospect	
CUST-1057	Peter Adams	peter_adams@outlook.com	06618-251286	UK	Sheffield	04-Jan-2022	Feb 01, 2023	29	6,513	0	smb	crm_export_b.csv	missing postcode	
CUST-1058	Chloe  Brown	chloe.brown[at]example.org	00673 830284	 united kingdom 	Sheffield	06/13/2024	10/07/2025	22	2057.05	TRUE	SMB	march_upload.csv		
CUST-1059	Chloe Davies	chloe_davies@outlook.com	(462) 873-3427	usa	Atlanta	02/13/2024	2024-10-23	24	N/A	Inactive	Small Business	crm_export_a.csv	wants weekend calls	
CUST-1060	Grace  Scott	gscott@outlook.com	1739363854	U.S.	Chicago	21-Jan-2022	08-Mar-2023	58	6,161	TRUE	Small business	crm_export_a.csv	requested invoice	
CUST-1061	Laura Wilson	laura_wilson@example.org	445477725228	UK	Edinburgh	2024-04-11	2025-02-01	67	3558.15	Y	Retail	crm_export_b.csv		
CUST-1062	  Noah Turner 	NOAH.TURNER@EXAMPLE.ORG	04840 862118	U.K.	cardiff	30-Jul-2024	06-Jul-2025	5	7759.7	TRUE	Retail	crm_export_a.csv		
CUST-1063	james green	jamesgreen@example.org	 +1 974 014 8902 	America	New York	2024-07-28	Aug 01, 2024	65	1469.19	yes	smb	legacy_contacts.csv	requested invoice	
CUST-1064	Michael Taylor	MICHAELTAYLOR51@EXAMPLE.ORG	4773586629	America	DENVER	04/20/2021	09/06/2021	48	N/A	Yes	smb	legacy_contacts.csv	left voicemail	
CUST-1065	  Daniel Brown 	danielbrown12@example.org	440466183982	uk	BIRMINGHAM	02-Jun-2023	01/17/2024		USD 4721.97	Y	consumer	march_upload.csv	requested invoice	
CUST-1066	Mr Robert Brown	robertbrown18@example.org	+44 3752 654793	 united kingdom 	london	Mar 22, 2023	 Sep 08, 2023 	60	3238.37	N	Small business	web_form.xlsx	missing postcode	
CUST-1067	Peter Hall	peter_hall@gmail.com	886-805-8911	US	Austin	21-Jul-2024	12/23/2024	36		TRUE	Small Business	march_upload.csv	missing postcode	
CUST-1068	Ava King	 ava_king@outlook.com 	6112545738	United States	 Seattle 	not sure	 2024-01-09 	46	N/A	Y	Small Business	march_upload.csv	VIP PROSPECT	
CUST-1069	sarah walker	swalker@gmail.com	660-334-1918	America	Miami	Apr 20, 2022	06/02/2023	46	5358.52	TRUE	smb	legacy_contacts.csv	missing postcode	
CUST-1070	Grace  Johnson	grace_johnson@yahoo.com	+61 2 9662 7828	AUS	Adelaide	06/23/2021	02-Jun-2022	29	2672.38	yes	consumer	legacy_contacts.csv	requested invoice	
CUST-1071	Sophia Turner	sophia_turner@company.co.uk	191-485-8078	usa	chicago	2024-03-03	03/18/2024		2493.38	Yes	Small Business	crm_export_b.csv	VIP prospect	
CUST-1072	william wright	williamwright45@example.org	254.494.8126	CAN	ottawa	07/19/2024	23-Feb-2025	31	(5243.04)	0	Corp	legacy_contacts.csv		
CUST-1073	Mr Peter Green	petergreen82@company.co.uk	863-637-4545	US	BOSTON	 23-Nov-2024 		44		1	Small Business	crm_export_b.csv	called twice	
CUST-1074	EMMA DAVIES	emmadavies51@gmail.com	361.103.7129	canada 	Montreal	11-Jul-2021	11-Jun-2022	44	2139.55	Yes	VIP	web_form.xlsx	VIP prospect	
CUST-1075	Emma Wilson	ewilson@company.co.uk	442697311219	uk	birmingham	2024-08-06	Jul 18, 2025	30	595.47	Active	SMB	web_form.xlsx	"VIP prospect
check manually"	
CUST-1076	Isla Campbell	isla_campbell@gmail.com	01805-526965	UK	SHEFFIELD	 2022-08-29 	 25/07/2023 		6665.56	no	 RETAIL 	march_upload.csv	missing postcode	
CUST-1077	Sophia Green	sophiagreen69@yahoo.com	01463-031617	Gb	EDINBURGH	2024-01-07	2024-11-17	30	2369.31	Active	smb	crm_export_b.csv	follow up in Q2	
CUST-1078	Chloe Roberts	chloe.roberts@example.org	8507925241	Canada	TORONTO	2025-04-29		22	2857.57	Y	SMB	march_upload.csv	duplicate from legacy file	
CUST-1079	Ethan Hall	ethan.hall @example.org	 448061744518 	U.K.	Leeds	03/05/2023	Aug 13, 2024	67	2729.65	Inactive	Small Business	crm_export_b.csv		
CUST-1080	Sophia Smith	ssmith@outlook.com	443670241038	UK	Bristol	Jul 26, 2024	28-Sep-2025	65	7458.03	N	retail	web_form.xlsx	missing postcode	
CUST-1081	Chris Green	chris.green @gmail.com	+1 756 185 3747	U.S.	Denver	2024-13-05	02/06/2023	5	1997.19	no	Retail	web_form.xlsx	left voicemail	
cust 1082	Sarah Smith	sarah.smith@gmail.com	 +61 3 2365 1994 	AUS	Perth	2024-02-13	03/02/2025	56		yes	Corp	legacy_contacts.csv	VIP prospect	
CUST-1083	James Hall	jameshall83@yahoo.com	08701 462638	United Kingdom	Leeds	01/19/2022	08-Jun-2022	38	3799.41	TRUE	Small Business	crm_export_a.csv	left voicemail	
CUST-1084	Laura Smith	lsmith[at]gmail.com	039652239	Australia	Brisbane	04/30/2021	Jun 18, 2022	51	4507.23	0	Priority	crm_export_b.csv	VIP prospect	
CUST-1085	Peter Jones	pjones@outlook.com	+44 5002 921851	U.K.	 Leeds 	10/02/2021	06-Nov-2021	51	20.8	N	 RETAIL 	crm_export_b.csv	VIP prospect	
CUST-1086	SARAH GREEN	sarahgreen24@gmail.com	+44 9391 725135	Gb	Liverpool	09/18/2021	12/17/2021	67	30.26	Yes	SMB	crm_export_a.csv	left voicemail	
cust 1087	Chloe Hall	CHLOE_HALL@YAHOO.COM	040541152	Australia	 Perth 	Oct 07, 2023	2024-12-31	45	2995.2	1	enterprise	crm_export_a.csv	 left voicemail 	
CUST-1088	DAVID EVANS	 david_evans@gmail.com 	05061 497310	UK	 Edinburgh 	18-Jan-2025	N/A	5	4597.96	1	retail	web_form.xlsx	called twice	
CUST-1089	OLIVIA DAVIES	oliviadavies86@gmail.com	06938-068687	Gb	LIVERPOOL	Jun 20, 2023	Feb 13, 2024	37	$1,934.67	1	retail	crm_export_b.csv	called twice	
CUST-1090	david wilson	DAVID.WILSON@OUTLOOK.COM	08685-487099	 united kingdom 	Manchester	2024-10-31	Jun 10, 2025	33	8476.83	TRUE	Corp	web_form.xlsx	duplicate from legacy file	
CUST-1091	Mia King	MKING@COMPANY.CO.UK	745-054-4471	U.S.	new york	19-Dec-2021	2022-05-09	twenty nine	1235.59	Active	Small business	march_upload.csv	prefers email	
CUST-1092	mary campbell	mcampbell@gmail.com	+1-303-070-5345	Canada	toronto	30-Sep-2022	28/09/2023	53	3437.72	FALSE	Small Business	web_form.xlsx	left voicemail	
CUST-1093	Dr Ethan Taylor	ethan_taylor@yahoo.com	+44 0722 903494	uk	Sheffield	Apr 12, 2021	04-Jul-2021		6631.86	TRUE	 RETAIL 	web_form.xlsx	follow up in Q2	
CUST-1094	Mia Taylor	mtaylor@yahoo.com	449652074466	uk	 Liverpool 	04/08/2024	17-Jan-2025	38	2230.83	Y	vip	web_form.xlsx		
CUST-1095	michael roberts	michaelroberts29@outlook.com	(554) 947-1709	America	Dallas	04/12/2025			8,050	0	Small business	crm_export_b.csv	follow up in Q2	
CUST-1096	Ethan Davies	edavies@yahoo.com	129.666.6760	canada 	Calgary	Nov 13, 2022	2023-10-02	5	2674.32	TRUE	smb	crm_export_b.csv	 follow up in Q2 	
CUST-1097	Mr Noah King	nking@outlook.com	07532603323	United Kingdom	Manchester	08/15/2025	31/02/2024	40	8062.71	Yes	SMB	crm_export_a.csv	wants weekend calls	
CUST-1098	James Brown	jbrown@example.org	189-141-1739	U.S.	Miami	12/08/2024	Feb 24, 2025	34	5913.7	TRUE	retail	crm_export_a.csv		
CUST-1099	Peter Brown	peterbrown59[at]yahoo.com	 012.045.5611 	canada 	 Edmonton 	09-Oct-2023	12/24/2023		6629.28	Y	Enterprise	legacy_contacts.csv	duplicate from legacy file	
CUST-1100	Robert Roberts	robert_roberts@yahoo.com	+1-797-296-5902	Canada	EDMONTON	 10/09/2025 	N/A	47	5520.46	Inactive	retail	web_form.xlsx	prefers email	
CUST-1101	Ethan Scott	ethan.scott@example.org	+442877217535	United Kingdom	Leeds	2023-09-14	Mar 09, 2024	63	5753.37	Yes	Corp	crm_export_a.csv	 wants weekend calls 	
CUST-1102	  Sophia Jones 	sophia_jones@yahoo.com	5037589975 ext 2	U.S.	 New York 	08/19/2025	10/04/2025		$8,187.51	Y	premium	crm_export_a.csv	wants weekend calls	
CUST-1103	David Evans	david_evans@gmail.com	449827080869	Gb	Sheffield	18/03/2022	Nov 07, 2022	33	6096.95	1	retail	web_form.xlsx	left voicemail	
CUST-1104	Chris Johnson	cjohnson@outlookcom	9452288515	America	Austin	Oct 10, 2021	09-May-2022	59		N	Retail	crm_export_a.csv	WANTS WEEKEND CALLS	
CUST-1105	Sarah Johnson	sjohnson@company.co.uk	 (863) 840-6665 	United States	Austin	09/16/2025	Oct 17, 2025	65	6670.27	Y	smb	legacy_contacts.csv	REQUESTED INVOICE	
cust 1106	Grace Taylor	GRACETAYLOR75@YAHOO.COM	07202-590947	 united kingdom 	birmingham	14/02/2025	Nov 04, 2025	28	3215.53	TRUE	Small Business	crm_export_b.csv	VIP prospect	
CUST-1107	CHRIS WRIGHT	cwright@company.co.uk	05616-484085	Gb	cardiff	Dec 23, 2023	2024-08-22	56	7004	No	Retail	crm_export_b.csv	requested invoice	
CUST-1108	David Hall	david_hall@yahoo.com	+1-011-024-8193	canada 	VANCOUVER	2024-01-07	not sure	65	7470.24	No	smb	march_upload.csv	 called twice 	
CUST-1109	Grace Johnson	gjohnson@example.org	 (842) 450-8821 	US	 Boston 	04/17/2025	N/A	49	$3,251.29	N	retail	march_upload.csv	VIP prospect	
CUST-1110	David Brown	dbrown@outlook.com	+44 7552 314913	Gb	Cardiff	Oct 12, 2025	11/08/2025	unknown	3928.84	Y	consumer	web_form.xlsx	called twice	
CUST-1111	Michael Walker	mwalker[at]outlook.com	110.809.9693	CA	Calgary	02/07/2023	01/01/2024	40	4146.95	Y	Small business	march_upload.csv	called twice	
CUST-1112	James Wright	jwright@yahoo.com	(750) 373-1453	United States	Seattle	03-Oct-2025		60	5820.11	Inactive	 RETAIL 	web_form.xlsx	VIP prospect	
CUST-1113	william davies	williamdavies52@example.org	05779082723	uk	Sheffield	2023-01-19	15-Nov-2023	62	7636.45	1	consumer	crm_export_b.csv	follow up in Q2	
CUST-1114	liam hall	lhall[at]yahoo.com	02869-904137	United Kingdom	London	Sep 19, 2021	09/07/2022	58	$1,382.18	Active	 RETAIL 	legacy_contacts.csv	left voicemail	
CUST-1115	Peter Thomas	pthomas@example.org	09908-811729	Gb	Birmingham	11-Aug-2021	2021-08-19	33	4450.21	0	Small business	web_form.xlsx	VIP prospect	
CUST-1116	Chloe King	CKING@COMPANY.CO.UK	+44 0981 806356 ext 2	U.K.	Birmingham	06-Jun-2022	Feb 05, 2023	35	7737.07	1	Small business	crm_export_b.csv	wants weekend calls	
CUST-1117	AVA ADAMS	 aadams@yahoo.com 	08658 902601	U.K.	liverpool	2024-03-29	21-Sep-2024	66	3393.13	TRUE	Enterprise	crm_export_b.csv	called twice	
CUST-1118	Robert Smith	robert.smith@yahoo.com	 00214-656693 	 united kingdom 	edinburgh	Aug 09, 2022	11/16/2022	23	6,667	Y	Small business	legacy_contacts.csv	left voicemail	
CUST-1119	Daniel Davies	danieldavies74@example.org	06973577907	uk	Manchester	19/02/2024	27-Mar-2024	53		FALSE	enterprise	web_form.xlsx		
CUST-1120	Grace Walker	gwalker@companyco.uk	03433339521	 united kingdom 	BIRMINGHAM	Sep 03, 2023	10-Feb-2024	43	1869.53	yes	 RETAIL 	legacy_contacts.csv	FOLLOW UP IN Q2	
CUST-1121	noah roberts	nroberts@outlook.com	+44 1875 003691	U.K.	cardiff	20-Sep-2021	10/17/2021	54	6,797	Active	smb	web_form.xlsx	wants weekend calls	
CUST-1122	Daniel Turner	 dturner@company.co.uk 	442702672885	United Kingdom	BIRMINGHAM	2024-13-05	11-Mar-2025		6923.41	TRUE	ENT	web_form.xlsx	wants weekend calls	
CUST-1123	Daniel Wright	danielwright37@yahoo.com	+44 8771 694722	UK	MANCHESTER	12/21/2022	03/09/2024	64	8187.04	1	smb	legacy_contacts.csv	wants weekend calls	
CUST-1124	Olivia King	oking@gmail.com	+1 117 800 6811	United States	 Miami 	28/04/2023	22-Jul-2023		7262.99	Yes	Retail	web_form.xlsx	duplicate from legacy file	
CUST-1125	CHRIS ADAMS	chris_adams@example.org	8457831745	usa	 Dallas 	12-Jul-2022	18-Apr-2023	49		0	smb	march_upload.csv	left voicemail	
CUST-1126	John Baker	JOHNBAKER29@COMPANY.CO.UK	03894 484631	United Kingdom	sheffield	Dec 12, 2025				yes	Enterprise	crm_export_b.csv	missing postcode	
CUST-1127	Emma Roberts	emmaroberts64@outlook.com	00512 046187	UK	GLASGOW	29/01/2025	02-Feb-2025	35	780	Active	Retail	march_upload.csv	missing postcode	
CUST-1128	David Adams	davidadams62 @outlook.com	00313650249	 united kingdom 	Liverpool	24-Oct-2022	13/01/2023		$6,194.09	No	smb	crm_export_a.csv		
CUST-1129	Liam Wilson	LWILSON@COMPANY.CO.UK	6524077848	U.S.	Chicago	Sep 15, 2021	May 22, 2022	35	2702.54	TRUE	smb	legacy_contacts.csv		
cust 1130	Liam Campbell	lcampbell@example.org	07829-456511	uk	Birmingham	14/12/2025	23/12/2025	60	7285.2	Inactive	consumer	march_upload.csv	called twice	
CUST-1131	William Roberts	william.roberts@company.co.uk	06509 480141	 united kingdom 	Leeds	25/05/2024	27/05/2025	25	126.04	no	Small business	crm_export_a.csv	called twice	
CUST-1132	William Wright	william_wright@example.org	585-566-5939	U.S.	Atlanta	14-Dec-2025	2026-02-05	31	6739.04	yes	Small Business	web_form.xlsx		
CUST-1133	  Laura Evans 	LAURA.EVANS@EXAMPLE.ORG	522.459.3344	Canada	Toronto	30-Apr-2025	N/A	65	6992.53	No	smb	crm_export_a.csv	left voicemail	
CUST-1134	William Green	william.green@yahoo.com	06048-058925	United Kingdom	London	Apr 28, 2025	2025-10-16	121	7480.04	Y	Priority	crm_export_a.csv	called twice	
CUST-1135	chloe jones	chloe_jones@example.org	+1 938 983 3146	United States	Boston	06/24/2021	01/14/2022		3701.66	TRUE	Corp	march_upload.csv	  	
CUST-1136	Mary Thomas	mary.thomas@yahoo.com	01477-053833	Gb	Bristol	2021-11-16	31/02/2024		7,251	Active	 RETAIL 	crm_export_a.csv	left voicemail	
CUST-1137	John  Taylor	john.taylor@yahoo.com	07981238780	United Kingdom	Liverpool	2024-09-19	11/29/2025	63	3071.46	yes	 RETAIL 	crm_export_a.csv	missing postcode	
CUST-1138	James Smith	jsmith@example.org	+61 9 2649 5782	AU	Brisbane	04/07/2022	Jun 23, 2022	42	7627.53	Y	retail	web_form.xlsx		
cust 1139	AVA BROWN	 abrown@outlook.com 	02099 499939	United Kingdom	BIRMINGHAM	Jan 29, 2025	02/13/2025	41	7482.92	Y	retail	crm_export_b.csv		
CUST-1140	John Roberts	johnroberts63@example.org	3660 965 69	Australia	Melbourne	01-Mar-2025	2026-02-07	5	6444.73	Active	VIP	march_upload.csv		
CUST-1141	Liam Jones	ljones@example.org	+44 7181 298266	Gb	Glasgow	27-Mar-2023	06/21/2024	40	6579.65	Active	Retail	crm_export_a.csv	 duplicate from legacy file 	
cust 1142	Robert Wright	rwright @yahoo.com	02206 447421	UK	Sheffield	28-Jan-2025		53	5208.44	Y	Small business	legacy_contacts.csv	prefers email	
CUST-1143	Peter  Scott	peter.scott@yahoo.com	0209945101	America	Seattle	Dec 12, 2025	N/A	unknown	5273.71	yes	ENT	crm_export_a.csv		
CUST-1144	Emma Walker	emma_walker@outlook.com	443901981794	 united kingdom 	 Sheffield 	07/08/2025	10-Sep-2025	48	7170.48	Y	Small Business	web_form.xlsx	called twice	
CUST-1145	John Brown	JBROWN@OUTLOOK.COM	03441448850	 united kingdom 	Manchester	19/02/2025		34	6799.3	0	Retail	crm_export_b.csv	requested invoice	
CUST-1146	Liam Turner	liamturner@outlook.com	+61 5 5124 0568	australia 	Adelaide	11/18/2022	07/12/2023	47	USD 7887.30	1	smb	crm_export_b.csv	left voicemail	
CUST-1147	SARAH BROWN	sarahbrown25@yahoo.com	448452182307	UK	London	May 12, 2025	08/23/2025		3780.42	Active	smb	crm_export_a.csv	wants weekend calls	
CUST-1148	Emma Evans	EMMA.EVANS@YAHOO.COM	09881 385854	uk	LEEDS	Aug 10, 2022	Dec 29, 2022		2722.99	Active	Retail	crm_export_a.csv	VIP prospect	
CUST-1149	peter hall	peter_hall@example.org	01717-477332	Gb	 Cardiff 	04/28/2024	31/02/2024	65	5949.12	Y	 RETAIL 	web_form.xlsx	follow up in Q2	
CUST-1150	Michael Campbell	mcampbell@company.co.uk	07615-396695	Gb	Manchester	Oct 30, 2022	2023-08-10	62	616.79	1	Small Business	web_form.xlsx	left voicemail	
CUST-1151	Peter Scott	peter.scott@yahoo.com	+44 2784 699733	United Kingdom	Cardiff	04/29/2025	N/A		2793.06	1	retail	web_form.xlsx		
CUST-1152	Ava Jones	avajones81@company.co.uk	446668327238	U.K.	Edinburgh	08/08/2025	2026-02-07	unknown	7322.69	Inactive	consumer	crm_export_b.csv		
cust 1153	Liam Hall	lhall @company.co.uk	 +1-909-738-4689 	canada 	EDMONTON	22-May-2024	2025-09-10	48	5303.26	TRUE	Small business	march_upload.csv		
